bck,cen,brd
0.189854561,0.264300914,0.366931645
0.189214181,0.263944357,0.365745686
0.188583905,0.263595311,0.364578389
0.187963517,0.263253605,0.363429654
0.187352806,0.262919071,0.362299369
0.186751566,0.26259155,0.3611874
0.186159598,0.262270886,0.360093601
0.18557671,0.261956927,0.359017809
0.185002714,0.261649529,0.357959851
0.184437426,0.26134855,0.356919538
0.18388067,0.261053852,0.355896672
0.183332273,0.260765304,0.354891043
0.182792067,0.260482776,0.353902434
0.182259888,0.260206144,0.352930616
0.181735579,0.259935287,0.351975356
0.181218983,0.259670088,0.351036413
0.180709951,0.259410432,0.35011354
0.180208335,0.25915621,0.349206484
0.179713994,0.258907313,0.348314991
0.179226787,0.258663638,0.347438799
0.17874658,0.258425083,0.346577648
0.178273241,0.258191551,0.345731272
0.17780664,0.257962946,0.344899405
0.177346652,0.257739174,0.34408178
0.176893155,0.257520146,0.343278129
0.17644603,0.257305774,0.342488183
0.176005161,0.257095972,0.341711677
0.175570433,0.256890658,0.340948342
0.175141736,0.256689751,0.340197914
0.174718963,0.256493173,0.339460129
0.174302007,0.256300846,0.338734726
0.173890766,0.256112696,0.338021444
0.173485139,0.255928651,0.337320027
0.173085028,0.25574864,0.33663022
0.172690337,0.255572595,0.335951773
0.172300973,0.255400448,0.335284439
0.171916844,0.255232134,0.334627972
0.17153786,0.25506759,0.333982133
0.171163936,0.254906753,0.333346684
0.170794984,0.254749562,0.332721394
0.170430922,0.254595959,0.332106032
0.170071668,0.254445887,0.331500375
0.169717142,0.254299288,0.330904202
0.169367267,0.254156109,0.330317297
0.169021965,0.254016295,0.329739446
0.168681164,0.253879794,0.329170444
0.168344788,0.253746556,0.328610086
0.168012768,0.253616531,0.328058172
0.167685033,0.253489669,0.327514509
0.167361514,0.253365924,0.326978906
0.167042145,0.253245249,0.326451177
0.166726861,0.253127598,0.32593114
0.166415596,0.253012928,0.325418619
0.166108289,0.252901195,0.324913438
0.165804877,0.252792356,0.324415431
0.165505301,0.252686371,0.323924432
0.165209501,0.252583198,0.323440281
0.16491742,0.252482799,0.322962821
0.164629,0.252385134,0.3224919
0.164344186,0.252290166,0.322027369
0.164062925,0.252197857,0.321569085
0.163785162,0.252108171,0.321116907
0.163510845,0.252021073,0.320670697
0.163239923,0.251936528,0.320230323
0.162972346,0.251854502,0.319795655
0.162708065,0.251774961,0.319366568
0.16244703,0.251697873,0.318942939
0.162189196,0.251623206,0.318524649
0.161934514,0.251550928,0.318111583
0.16168294,0.251481008,0.317703629
0.16143443,0.251413417,0.317300677
0.161188938,0.251348124,0.316902622
0.160946422,0.2512851,0.31650936
0.16070684,0.251224318,0.316120792
0.160470151,0.251165749,0.315736821
0.160236313,0.251109365,0.315357353
0.160005286,0.25105514,0.314982297
0.159777032,0.251003047,0.314611563
0.159551512,0.250953061,0.314245066
0.159328688,0.250905155,0.313882722
0.159108523,0.250859305,0.313524451
0.158890981,0.250815486,0.313170173
0.158676025,0.250773674,0.312819812
0.15846362,0.250733845,0.312473295
0.158253733,0.250695976,0.312130549
0.158046328,0.250660043,0.311791504
0.157841373,0.250626024,0.311456094
0.157638835,0.250593898,0.311124252
0.157438681,0.250563641,0.310795915
0.157240881,0.250535233,0.310471021
0.157045402,0.250508652,0.31014951
0.156852215,0.250483878,0.309831324
0.156661289,0.25046089,0.309516406
0.156472595,0.250439667,0.309204703
0.156286103,0.25042019,0.308896159
0.156101785,0.250402439,0.308590725
0.155919614,0.250386395,0.30828835
0.155739561,0.250372039,0.307988985
0.155561599,0.250359352,0.307692583
0.155385702,0.250348315,0.307399099
0.155211843,0.25033891,0.307108487
0.155039996,0.25033112,0.306820705
0.154870136,0.250324926,0.306535711
0.154702239,0.250320311,0.306253463
0.154536278,0.250317257,0.305973923
0.154372231,0.250315748,0.305697052
0.154210074,0.250315767,0.305422812
0.154049782,0.250317296,0.305151167
0.153891333,0.25032032,0.304882082
0.153734704,0.250324822,0.304615522
0.153579873,0.250330787,0.304351454
0.153426817,0.250338198,0.304089846
0.153275516,0.250347039,0.303830665
0.153125948,0.250357295,0.303573882
0.152978091,0.250368951,0.303319467
0.152831926,0.250381992,0.30306739
0.152687431,0.250396402,0.302817625
0.152544587,0.250412166,0.302570143
0.152403375,0.25042927,0.302324918
0.152263773,0.2504477,0.302081925
0.152125764,0.25046744,0.301841138
0.151989329,0.250488477,0.301602534
0.151854449,0.250510796,0.301366088
0.151721105,0.250534383,0.301131777
0.15158928,0.250559224,0.300899578
0.151458956,0.250585306,0.300669471
0.151330116,0.250612614,0.300441433
0.151202741,0.250641136,0.300215445
0.151076816,0.250670857,0.299991485
0.150952323,0.250701765,0.299769535
0.150829246,0.250733845,0.299549575
0.150707569,0.250767086,0.299331587
0.150587275,0.250801474,0.299115553
0.15046835,0.250836995,0.298901454
0.150350776,0.250873638,0.298689273
0.150234539,0.250911388,0.298478994
0.150119625,0.250950234,0.298270599
0.150006017,0.250990163,0.298064071
0.149893701,0.251031162,0.297859396
0.149782663,0.251073219,0.297656556
0.149672888,0.251116321,0.297455537
0.149564362,0.251160455,0.297256324
0.149457072,0.25120561,0.2970589
0.149351003,0.251251772,0.296863253
0.149246143,0.251298931,0.296669367
0.149142477,0.251347073,0.296477228
0.149039992,0.251396187,0.296286822
0.148938677,0.25144626,0.296098136
0.148838517,0.25149728,0.295911157
0.1487395,0.251549236,0.29572587
0.148641614,0.251602115,0.295542263
0.148544846,0.251655906,0.295360323
0.148449184,0.251710596,0.295180037
0.148354617,0.251766175,0.295001394
0.148261133,0.25182263,0.29482438
0.148168719,0.251879949,0.294648983
0.148077364,0.251938121,0.294475193
0.147987058,0.251997134,0.294302997
0.147897788,0.252056978,0.294132384
0.147809544,0.25211764,0.293963344
0.147722314,0.252179109,0.293795865
0.147636089,0.252241374,0.293629936
0.147550857,0.252304424,0.293465548
0.147466608,0.252368247,0.293302691
0.147383332,0.252432833,0.293141353
0.147301018,0.25249817,0.292981525
0.147219656,0.252564247,0.292823197
0.147139236,0.252631053,0.292666359
0.147059749,0.252698577,0.292511002
0.146981185,0.252766808,0.292357117
0.146903533,0.252835736,0.292204694
0.146826786,0.252905349,0.292053725
0.146750932,0.252975637,0.291904201
0.146675964,0.253046589,0.291756112
0.146601871,0.253118195,0.291609451
0.146528645,0.253190443,0.291464209
0.146456278,0.253263324,0.291320377
0.146384759,0.253336826,0.291177948
0.146314081,0.253410939,0.291036912
0.146244235,0.253485652,0.290897262
0.146175213,0.253560955,0.29075899
0.146107005,0.253636837,0.290622087
0.146039605,0.253713288,0.290486546
0.145973003,0.253790297,0.290352359
0.145907192,0.253867854,0.290219517
0.145842163,0.253945947,0.290088013
0.145777909,0.254024567,0.289957839
0.145714422,0.254103703,0.289828987
0.145651694,0.254183344,0.289701449
0.145589718,0.254263481,0.289575219
0.145528486,0.254344102,0.289450288
0.145467991,0.254425197,0.289326648
0.145408225,0.254506755,0.289204293
0.145349181,0.254588767,0.289083214
0.145290852,0.254671222,0.288963404
0.145233232,0.254754109,0.288844856
0.145176312,0.254837419,0.288727562
0.145120086,0.25492114,0.288611516
0.145064547,0.255005262,0.288496709
0.145009689,0.255089776,0.288383134
0.144955504,0.255174671,0.288270785
0.144901987,0.255259936,0.288159654
0.14484913,0.255345562,0.288049733
0.144796927,0.255431538,0.287941017
0.144745372,0.255517854,0.287833496
0.144694458,0.2556045,0.287727166
0.14464418,0.255691465,0.287622017
0.14459453,0.255778741,0.287518045
0.144545504,0.255866316,0.28741524
0.144497095,0.255954181,0.287313597
0.144449296,0.256042326,0.287213109
0.144402103,0.25613074,0.287113769
0.144355508,0.256219414,0.287015569
0.144309508,0.256308339,0.286918503
0.144264095,0.256397504,0.286822565
0.144219264,0.256486899,0.286727747
0.14417501,0.256576515,0.286634043
0.144131326,0.256666341,0.286541445
0.144088209,0.25675637,0.286449948
0.144045651,0.25684659,0.286359544
0.144003649,0.256936992,0.286270228
0.143962196,0.257027567,0.286181991
0.143921287,0.257118306,0.286094829
0.143880918,0.257209198,0.286008733
0.143841083,0.257300235,0.285923699
0.143801776,0.257391407,0.285839719
0.143762994,0.257482706,0.285756786
0.143724731,0.257574121,0.285674895
0.143686982,0.257665644,0.285594039
0.143649743,0.257757266,0.285514212
0.143613008,0.257848977,0.285435407
0.143576773,0.257940769,0.285357618
0.143541033,0.258032633,0.285280838
0.143505784,0.258124561,0.285205063
0.14347102,0.258216542,0.285130284
0.143436738,0.25830857,0.285056497
0.143402933,0.258400634,0.284983695
0.1433696,0.258492728,0.284911872
0.143336736,0.258584841,0.284841021
0.143304335,0.258676966,0.284771138
0.143272393,0.258769095,0.284702214
0.143240907,0.258861219,0.284634246
0.143209872,0.258953329,0.284567226
0.143179283,0.259045419,0.284501149
0.143149137,0.25913748,0.284436008
0.143119429,0.259229504,0.284371798
0.143090156,0.259321484,0.284308513
0.143061314,0.25941341,0.284246147
0.143032897,0.259505277,0.284184694
0.143004904,0.259597076,0.284124148
0.142977329,0.259688799,0.284064503
0.142950169,0.25978044,0.284005753
0.14292342,0.259871991,0.283947893
0.142897078,0.259963445,0.283890917
0.14287114,0.260054794,0.283834819
0.142845602,0.260146032,0.283779593
0.14282046,0.260237151,0.283725233
0.14279571,0.260328146,0.283671735
0.14277135,0.260419008,0.283619092
0.142747374,0.260509731,0.283567298
0.142723781,0.26060031,0.283516348
0.142700567,0.260690736,0.283466236
0.142677727,0.260781005,0.283416957
0.142655259,0.260871109,0.283368505
0.142633159,0.260961043,0.283320874
0.142611424,0.2610508,0.28327406
0.14259005,0.261140374,0.283228055
0.142569035,0.26122976,0.283182856
0.142548375,0.261318951,0.283138456
0.142528067,0.261407943,0.28309485
0.142508107,0.261496729,0.283052033
0.142488493,0.261585304,0.283009998
0.142469222,0.261673663,0.282968742
0.14245029,0.2617618,0.282928258
0.142431694,0.26184971,0.282888541
0.142413431,0.261937389,0.282849586
0.142395498,0.262024831,0.282811387
0.142377893,0.262112031,0.282773939
0.142360612,0.262198985,0.282737237
0.142343652,0.262285688,0.282701275
0.142327011,0.262372136,0.282666049
0.142310686,0.262458324,0.282631554
0.142294673,0.262544248,0.282597783
0.142278971,0.262629904,0.282564732
0.142263575,0.262715287,0.282532395
0.142248485,0.262800394,0.282500768
0.142233696,0.262885221,0.282469846
0.142219206,0.262969764,0.282439623
0.142205012,0.263054019,0.282410094
0.142191112,0.263137984,0.282381255
0.142177504,0.263221654,0.282353099
0.142164184,0.263305026,0.282325623
0.14215115,0.263388097,0.282298822
0.142138399,0.263470864,0.282272689
0.142125929,0.263553324,0.282247221
0.142113738,0.263635474,0.282222412
0.142101822,0.263717312,0.282198258
0.14209018,0.263798835,0.282174754
0.142078809,0.263880041,0.282151894
0.142067707,0.263960926,0.282129675
0.142056871,0.264041489,0.28210809
0.142046299,0.264121728,0.282087136
0.142035988,0.26420164,0.282066808
0.142025936,0.264281223,0.2820471
0.142016142,0.264360476,0.282028009
0.142006602,0.264439397,0.282009529
0.141997314,0.264517984,0.281991656
0.141988277,0.264596236,0.281974385
0.141979487,0.26467415,0.281957711
0.141970943,0.264751726,0.28194163
0.141962643,0.264828963,0.281926138
0.141954584,0.264905859,0.281911229
0.141946764,0.264982413,0.281896899
0.141939182,0.265058624,0.281883144
0.141931835,0.265134491,0.281869959
0.14192472,0.265210014,0.281857339
0.141917836,0.265285191,0.28184528
0.141911182,0.265360023,0.281833778
0.141904754,0.265434508,0.281822828
0.141898551,0.265508647,0.281812426
0.141892571,0.26558244,0.281802568
0.141886812,0.265655886,0.281793248
0.141881271,0.265728987,0.281784463
0.141875948,0.265801743,0.281776208
0.14187084,0.265874154,0.28176848
0.141865945,0.26594622,0.281761273
0.141861261,0.266017943,0.281754583
0.141856787,0.266089323,0.281748407
0.14185252,0.26616036,0.28174274
0.141848459,0.266231057,0.281737578
0.141844602,0.266301414,0.281732916
0.141840948,0.266371432,0.281728751
0.141837493,0.266441113,0.281725078
0.141834238,0.266510458,0.281721893
0.141831179,0.26657947,0.281719192
0.141828315,0.266648148,0.281716972
0.141825645,0.266716495,0.281715227
0.141823166,0.266784512,0.281713955
0.141820878,0.266852201,0.28171315
0.141818777,0.266919564,0.281712809
0.141816864,0.266986603,0.281712929
0.141815135,0.267053318,0.281713504
0.14181359,0.267119714,0.281714531
0.141812227,0.267185794,0.281716007
0.141811044,0.26725156,0.281717927
0.14181004,0.267317015,0.281720287
0.141809212,0.267382163,0.281723084
0.14180856,0.267447006,0.281726314
0.141808082,0.267511548,0.281729973
0.141807777,0.267575794,0.281734057
0.141807642,0.267639749,0.281738562
0.141807677,0.267703417,0.281743485
0.141807879,0.267766804,0.281748822
0.141808248,0.267829913,0.28175457
0.141808782,0.26789275,0.281760724
0.141809479,0.267955321,0.281767281
0.141810339,0.26801763,0.281774237
0.141811359,0.268079682,0.281781589
0.141812538,0.268141484,0.281789333
0.141813875,0.268203039,0.281797466
0.141815368,0.268264353,0.281805983
0.141817017,0.26832543,0.281814882
0.141818819,0.268386276,0.281824159
0.141820773,0.268446895,0.281833811
0.141822878,0.268507291,0.281843833
0.141825133,0.26856747,0.281854223
0.141827537,0.268627436,0.281864977
0.141830087,0.268687193,0.281876092
0.141832783,0.268746745,0.281887564
0.141835623,0.268806098,0.28189939
0.141838607,0.268865254,0.281911567
0.141841732,0.268924218,0.281924091
0.141844998,0.268982994,0.281936959
0.141848403,0.269041586,0.281950167
0.141851947,0.269099998,0.281963713
0.141855627,0.269158234,0.281977593
0.141859443,0.269216298,0.281991804
0.141863394,0.269274192,0.282006343
0.141867478,0.269331922,0.282021206
0.141871693,0.269389489,0.282036391
0.14187604,0.269446899,0.282051894
0.141880517,0.269504154,0.282067712
0.141885123,0.269561258,0.282083842
0.141889855,0.269618213,0.282100281
0.141894715,0.269675024,0.282117026
0.141899699,0.269731693,0.282134073
0.141904808,0.269788224,0.282151421
0.141910039,0.269844619,0.282169065
0.141915393,0.269900882,0.282187003
0.141920867,0.269957016,0.282205231
0.141926462,0.270013022,0.282223748
0.141932175,0.270068905,0.282242549
0.141938005,0.270124667,0.282261633
0.141943952,0.27018031,0.282280995
0.141950015,0.270235838,0.282300634
0.141956193,0.270291253,0.282320546
0.141962483,0.270346557,0.282340729
0.141968887,0.270401753,0.282361179
0.141975402,0.270456844,0.282381895
0.141982027,0.270511832,0.282402872
0.141988762,0.270566718,0.282424109
0.141995605,0.270621506,0.282445603
0.142002556,0.270676198,0.28246735
0.142009614,0.270730796,0.282489349
0.142016777,0.270785302,0.282511596
0.142024045,0.270839717,0.28253409
0.142031416,0.270894046,0.282556826
0.142038891,0.270948288,0.282579803
0.142046467,0.271002446,0.282603018
0.142054145,0.271056523,0.282626468
