,V4_bck,V4_fig1,V4_fig2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0003099428147764602,0.0003099924906734619,0.00030999140133148743
41,0.001539179609265062,0.0015404151805937984,0.0015403931027421379
42,0.004573573367704564,0.004582658156934779,0.004582493645994424
43,0.01053402563422289,0.010575400256332659,0.010574629233123136
44,0.02071062444715127,0.020852880930565487,0.020850158164740406
45,0.03646889233400015,0.03687254647513003,0.03686463831243158
46,0.0591290873199235,0.06012199116661296,0.060102120989598516
47,0.08982591328444431,0.09200863556114695,0.09196401914944988
48,0.12936319080014008,0.13373966577059537,0.13364808544724888
49,0.17808401299764984,0.18620351674014385,0.18602875000776767
50,0.23577925061367155,0.2498665658695442,0.2495523431135206
51,0.3016540995216275,0.3246987007692839,0.3241606106810164
52,0.37436338903331756,0.41013859712889617,0.4092530583948303
53,0.45211344736428577,0.5051042194607341,0.5036934892129037
54,0.532815060377426,0.6080473555148735,0.6058598476524869
55,0.6142624705992741,0.7170447417236977,0.7137308481460939
56,0.694310190336196,0.8299137410858124,0.8249989884481556
57,0.7710230400072522,0.944338676600177,0.9371981628954753
58,0.8427833693524286,1.0579948627779567,1.0478348089419316
59,0.9083497360035293,1.1686600620837706,1.1545133151394043
60,0.966870410383184,1.274306655935852,1.255048338781167
61,1.0178610954591565,1.373171428674519,1.347558278552411
62,1.0611587516735113,1.4638024974823667,1.430535263346679
63,1.096863030600658,1.5450846798297393,1.502888218220708
64,1.1252746661622899,1.6162455769625617,1.5639573076968203
65,1.1468373454389293,1.6768451447989485,1.6135004464705247
66,1.1620868735699907,1.7267517868069047,1.6516552657864112
67,1.1716092804345621,1.7661080856327864,1.6788823072920804
68,1.1760080137057323,1.7952894425503412,1.6958966746113924
69,1.1758794634197816,1.8148588193650392,1.7035956331144324
70,1.1717956274809147,1.8255205274203603,1.7029888077547417
71,1.1642926043716026,1.8280755877605546,1.6951359039247635
72,1.1538636611604511,1.8233808389156854,1.6810950435037977
73,1.140955778695366,1.8123131994167936,1.6618829358766811
74,1.1259687612512261,1.7957399616097576,1.6384466862689557
75,1.1092561799248586,1.7744954035154645,1.611646046715806
76,1.0911275803848393,1.7493635391748097,1.5822441307746855
77,1.0718515198667848,1.7210664883710998,1.55090556388076
78,1.0516591054897775,1.690257730830197,1.5181992282369923
79,1.0307477890901982,1.657519404166037,1.4846044193200427
80,1.0092852370300993,1.623362678570876,1.4505192384820962
81,0.9874131411264909,1.5882306167591334,1.4162698658349355
82,0.9652508727904457,1.552502793887696,1.3821200988852782
83,0.9428989098053215,1.51650099678124,1.3482806323490732
84,0.9204419863459774,1.480495323014872,1.3149176870387387
85,0.897951933634026,1.4447103143373519,1.2821607968088038
86,0.8754901922912567,1.409330924779488,1.2501096736782285
87,0.8531099888292992,1.374508092742183,1.2188400685563359
88,0.8308581783237325,1.3403638461831904,1.1884087009149809
89,0.8087767634731476,1.3069959011905048,1.1588573325379055
90,0.7869041071018641,1.2744816262203995,1.130216038098642
91,0.7652758608044471,1.2428813898539381,1.1025057499369748
92,0.7439256368789173,1.212241362090523,1.0757401729095544
93,0.7228854539639182,1.1825958137030907,1.0499272386396887
94,0.7021859888965178,1.15396898903855,1.025070176357292
95,0.6818566682721247,1.1263766004740137,1.0011682725245834
96,0.6619256330722347,1.0998270320243724,0.9782173956423997
97,0.6424196086151444,1.0743222820884422,0.9562103347180846
98,0.6233637100950579,1.0498587461645814,0.93513704080608
99,0.604781211248707,1.0264279761889679,0.9149848216314813
100,0.5866933003893469,1.00401720855653,0.8957384776711192
101,0.5691188443507856,0.982609773640495,0.8773803883524993
102,0.5520741769706516,0.962185485672114,0.8598906303442988
103,0.5355729247854468,0.9427210385316498,0.8432471488216492
104,0.5196258787698838,0.9241904754593354,0.8274259545311495
105,0.5042409173671987,0.9065656110706714,0.8124014074886016
106,0.48942298283585356,0.8898163647671543,0.7981464157599372
107,0.4751741101610409,0.8739110518687636,0.7846326377529221
108,0.46149350549519935,0.8588166817519377,0.7718307177686
109,0.44837766931888695,0.8444994024874508,0.7597105219587275
110,0.43582055824365834,0.8309247735434393,0.7482413741659736
111,0.42381377858147107,0.8180579312452583,0.7373922910778417
112,0.41234680443288496,0.805863859722163,0.7271323274260065
113,0.401407213039428,0.7943076502294832,0.7174308046440159
114,0.39098093043797655,0.7833547513909298,0.7082573517094582
115,0.3810524809790191,0.7729712818721158,0.6995820955653428
116,0.3716052349604999,0.7631243499447501,0.6913758185797084
117,0.3626216494239466,0.7537819586703838,0.6836101072215228
118,0.35408349800890554,0.7449131550260853,0.6762574799424519
119,0.3459720867205905,0.7364881547843303,0.6692914891677825
120,0.3382684529496445,0.7284784425830614,0.6626868027317603
